label,value,headline,bold,underline,italic,fontSize,Icon
X alle Filter löschen (show all) press Esc,,,,true,,,
ecology ,ecology green organic bio sustainable renewable,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/fairer-Handel-neu.svg
education & human kapital,education school schule sdg4,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/Bildung-und-Beratung-neu.svg
health & care,health kindergarten,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/Kultur-und-Begegnung-neu.svg
culture & creative industries,art artistsforfuture,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/secondhandverleihen-verschenken-neu.svg
infrastructure,funding support
,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/Initiativen-Netzwerke-neu.svg
territories & communities ,ecovillages lebensgemeinschaft
,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/Gemeinschaftsgarten-neu.svg
,,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/Lebensmittel-und-Gastronomie-neu.svg
,,,,,,,https://blog.vonmorgen.org/wp-content/uploads/2021/08/Reparatur-Handwerk-neu.svg
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Beispiele zur erweiterten Suche,,,,,,,
#Fridays – filtern nur nach Stichworten,#Fridays,,,,,,
Fridays – durchsucht auch Beschreibung,Fridays,,,,,,
bio fair – findet alles was eins von beiden enthält,bio fair,,,,,,
"#bio #fair – findet nur, was beides enthält",#bio #fair,,,,,,
"tag:bio OR tag:fair – findet alles, was eines der tags enthält",tag:bio OR tag:fair,,,,,,
+Fridays +Future – beides muss enthalten sein,+Fridays +Future,,,,,,
+Fridays -Future – letzteres darf nicht enthalten sein,+Fridays -Future,,,,,,
